createdby,itemtotalprice,productname,description,modifiedon,createdon,itemprice,tax,itemquantity,ownerid,modifiedby,catalognumber,itemorder,productid,crmorderid,crmorderitemid,createdbyname,owneridname,modifiedbyname,productidname,crmorderidname,taxname
89F9D1ED-F191-4447-AA29-879331BA9B19,1260,משלוח,3 משטחים,2025-08-31 12:02:27.000,2025-08-31 12:02:27.000,1260,1,1,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,2,,1A298DDB-F539-421B-88C8-F5025BD557F9,698FC873-34A3-4FB3-A724-A67E7D60BD6E,מירית יוסף,מירית יוסף,מירית יוסף,,7612,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,2700,סט כלים,סט כלים המגיע בנרקית ממותג במילוי : צלחות וכוסות מלמין וסכום,2026-02-09 14:37:56.000,2026-02-09 14:37:56.000,100,1,27,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,2,,FCC0ED5C-097F-497F-AB33-085D0D91D8E5,1E79DEEE-C41B-4A46-822C-A89D51D258D7,מירית יוסף,מירית יוסף,מירית יוסף,,7729,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,9400,מארז פותחים שנה,"קופסת מגירה מעוצבת וממותגת <br> מידות : 21*9*4 <br> כולל מילוי : אוזו 50 מ״ל ,  2 כוסיות צ'ייסר , ושקית סוכריות",2025-08-18 15:54:46.137,2025-08-18 15:54:46.137,47,1,200,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,1,AFD8852B-503C-42F5-93F2-417C52C8E625,AE08E9F7-18DB-4EBF-A85C-6D92F62F7403,0EDE8E63-6280-47F3-AD4C-A8A455B4D53C,מירית יוסף,מירית יוסף,מירית יוסף,מארז פותחים שנה,7600,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,4500,משלוחים לבתים,,2025-12-18 10:28:59.000,2025-12-18 10:28:59.000,60,1,75,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,2,,CBFF4858-87E1-462F-BB5D-F0A10B7B67E5,46C913CC-0F79-4755-81A8-A8F83D0A3324,מירית יוסף,מירית יוסף,מירית יוסף,,7691,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,140,משלוח,,2026-03-04 15:18:32.000,2026-03-04 15:18:00.530,140,1,1,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,9,E39354FD-5E92-449C-B768-73685BFDC451,46ABCAF7-30CC-474B-ABD0-767C09B3CA68,E01C3EAB-3053-48F5-87B4-A8FB8471CC0B,מירית יוסף,מירית יוסף,מירית יוסף,משלוח,7748,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,70,משלוח,,2025-08-24 09:58:12.000,2025-08-21 12:27:55.140,70,1,1,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,3,E39354FD-5E92-449C-B768-73685BFDC451,2C9F6B06-5D5D-4323-ACE2-7F603D4FBE90,76530ADC-1890-49D0-B58C-AB4D69C941EB,מירית יוסף,מירית יוסף,מירית יוסף,משלוח,7606,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,180,פלייסמנט ממותג,,2025-10-28 15:17:11.000,2025-10-28 15:17:11.000,3,1,60,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,4,,87849B40-D842-4C20-91F5-E874EE75ED1E,92B222B4-B4DE-4D94-BBF6-ABA68D4F7E9B,מירית יוסף,מירית יוסף,מירית יוסף,,7643,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,11700,פנקייק XL,"מארז קוביה ענק בגודל 20*20*20 במילוי בלילת פנקייק, מייפל טבעי ,זוג ספלי זכוכית עם כיתוב ,צנצנת שוקולית ,שקית צלופן עם נטיפי שוקולד, שקית צלופן עם מיני מרשמלו, מבחנה עם סוכריות לעוגה ו6 פרלינים.",2025-12-18 10:28:48.000,2025-12-18 10:28:48.000,156,1,75,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,1405,1,BD9696BB-F22F-4F9D-8365-C085A0D6BDBA,CBFF4858-87E1-462F-BB5D-F0A10B7B67E5,15E982F8-C5CF-46CD-B6E9-AC06EBA8EC20,מירית יוסף,מירית יוסף,מירית יוסף,פנקייק XL,7691,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,70,משלוח,,2025-12-03 11:42:08.000,2025-12-03 10:00:53.000,70,1,1,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,2,,87B46B32-E577-4841-A127-A66184E74046,2ABAE76B-3E8C-4177-A47D-AC2D9E20C1FA,מירית יוסף,מירית יוסף,מירית יוסף,,7679,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,80,חבק בקבוקים גדולים,,2026-03-08 16:03:55.000,2026-03-08 16:03:55.000,4,1,20,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,5,,779DF11C-C2EF-4557-8449-D785F21DF664,4E7C3158-0888-4229-B2CF-ACB82064080F,מירית יוסף,מירית יוסף,מירית יוסף,,7749,לפני
